,STA302 hours (W1),COVID hours (W1),Country,Quiz_1_score,STA302 hours (W2),COVID hours (W2),Quiz_2_score,STA302 hours (W3),COVID hours (W3),Quiz_3_score,STA302 hours (W4),COVID hours (W4),Quiz_4_score
169,8,1.5,Canada,10,9,1,9.4,6,1.5,9,7,2,8
170,10,2,Canada,7,8,3,4.8,10,3,4,12,4,5
171,4,1,China,9,6,0.5,10,10,0.5,8,6,1,7
172,12,6,China,9,12,12,6.4,12,12,9,12,12,5
173,6,3,China,9,5,2,10,6,1,9,8,2,10
174,2,1,China,1,3,2,1.8,4,1,9,6,0.5,9
175,10,0.3167,China,9,12,0.167,7.8,20,0.1,8,60,0.5,6
176,14.5,1,China,7,10,2,10,11,0.5,9,10,2,9
177,4.5,0,China,9,14,2,9.4,18,2,9,45,10,8
178,12,0.3,Canada,8,11,0.1,10,13,0.3,9,37,1.5,5
179,5,2,China,8,8,1,10,5,1,9,5,1,9
180,12,0.5,China,8,10.5,0.5,8.8,15,0.5,7,12,0.5,10
181,3,1.25,China,7,5,1,3.4,7,2,5,NA,NA,7
182,4,1,Canada,6,10,2,NA,11,1,NA,NA,NA,NA
183,12,0.1,China,10,15,5,10,18,0.0833,8,25,0.5,10
184,3,3,Canada,3,5,1,2.8,6,1,5,6,1,4
185,8,1,India,5,9,2,9.4,10,2,7,12,3,8
186,8,1,Canada,10,8,0.5,10,8,0,9,20,1,10
187,3,7,Canada,9,9,7,9.4,9,3,10,11,5,6
188,4,1,Canada,NA,NA,NA,10,4,0.5,10,6,0,9
189,8,1,Canada,9,8,40,9.4,15,0.5,2,NA,NA,8
190,9.5,0.5,China,9,12,0.167,10,8.5,10,10,8,0.083,7
191,4,1,Canada,9,4,2,10,5.5,2.5,9,6,2.5,7
192,9,2,Canada,7,6,1,8.8,7,2,5,NA,NA,6
193,21,1,China,10,9,0.5,10,18,1,8,20,1,8
194,6,3.5,Canada,7,7,4,NA,7.5,4,NA,NA,NA,NA
195,6,1,Canada,NA,5,1,10,5,1,9,NA,NA,10
196,10,5,Singapore,10,12,12,5.8,8,20,5,12,6,7
197,3.5,1,Taiwan,7,12,1,10,10,0.0833,10,16,0.167,NA
198,3,1,China,9,6,2,NA,8,1,NA,NA,NA,NA
199,10,0.5,Canada,5,12,1,10,15,1,6,16,1,7
200,8,2,Canada,8,8,0.5,4.2,8,0.25,5,10,0.5,6
201,10,2,Canada,6,11,1,4.8,11,0.5,4,13,1,7
202,NA,NA,NA,9,6,5,8.8,7,8,5,15,2,8
203,NA,NA,NA,7,8,2,10,10,3,9,12,3,10
204,NA,NA,NA,8,NA,NA,10,6,2,10,8,1,6
205,NA,NA,NA,7,9,2,8.2,12,2,5,30,1,7
206,NA,NA,NA,10,NA,NA,NA,4,2,8,5,3,10
207,NA,NA,NA,5,6,0,5.8,6,0,8,5,0,8
208,NA,NA,NA,10,10,1,5.2,6,1,8,7,2,9
209,NA,NA,NA,7,7,3,0,10,2,5,12,0.5,6
210,NA,NA,NA,4,NA,NA,10,NA,NA,9,NA,NA,9
211,NA,NA,NA,4,8,1,4.8,9,3,9,15,3,9
212,NA,NA,NA,6,6,1,NA,8,0.5,NA,NA,NA,NA
213,NA,NA,NA,7,5,2,NA,4,5,NA,NA,NA,NA
214,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,NA,9,6,2,6.4,7,1,3,14,1,6
216,NA,NA,NA,10,8,1,9.4,7,0.5,9,15,0.5,8
217,NA,NA,NA,4,8,0,5.8,6,2,8,10,1,5
218,NA,NA,NA,10,6,1,10,7,1,9,6,1,7
219,NA,NA,NA,3,NA,NA,5.8,10,1,5,6,1,4
220,NA,NA,NA,10,NA,NA,10,NA,NA,10,NA,NA,10
221,NA,NA,NA,3,8,0.5,2.8,7,3,5,8,6,6
222,NA,NA,NA,10,NA,NA,10,NA,NA,10,10,10,10
223,NA,NA,NA,NA,5,1,10,10,4,8,5,4,8
224,NA,NA,NA,NA,16,4,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,NA,NA,NA,NA,9.4,10,0.1,9,7,0.2,8
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,5,7
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,8
